UPA One Liner Detail,,,,,,,
Time run: 11/09/2020 8:46:46 AM,,,,,,,
,,,,,,,
RID,UPA #,Primary/Site NAICS,UPA Receipt Date,Receipt Type,Formality,Insp #,
0111400,C-1578124,623311 / 623311,04/24/2020,Phone,Nonformal,,
0111400,C-1579589,928110 / 928110,04/27/2020,Phone,Nonformal,,
0111400,C-1581092,488410 / 488410,04/30/2020,Phone,Nonformal,,
0111400,C-1581231,541618 / 541618,04/30/2020,Email,Nonformal,,
0111400,C-1583222,611110 / 611110,05/05/2020,Online,Nonformal,,
0111400,C-1583228,722513 / 722513,05/05/2020,Email,Nonformal,,
0111400,C-1583231,423610 / 423610,05/05/2020,Phone,Nonformal,,
0111400,C-1583245,541110 / 541110,05/05/2020,Phone,Nonformal,,
0111400,C-1583272,332312 / 332312,05/05/2020,Online,Nonformal,,
0111400,C-1584794,517212 / 517212,05/07/2020,Online,Nonformal,,
0111400,C-1585626,491110 / 491110,05/08/2020,Phone,Nonformal,,
0111400,C-1586456,611699 / 611699,05/11/2020,Online,Nonformal,,
0111400,C-1587405,622110 / 622110,05/11/2020,Phone,Nonformal,,
0111400,C-1587729,311999 / 311999,05/12/2020,Email,Nonformal,,
0111400,C-1591382,621492 / 621492,05/18/2020,Phone,Nonformal,,
0111400,C-1596820,424410 / 424410,05/28/2020,Phone,Nonformal,,
0111400,C-1602554,561499 / 561499,06/09/2020,Phone,Nonformal,,
0111400,C-1603201,722513 / 722513,06/10/2020,Online,Nonformal,,
0111400,C-1603969,484110 / 484110,06/11/2020,Phone,Nonformal,,
0111400,C-1604685,442110 / 442110,06/12/2020,Phone,Nonformal,,
0111400,C-1607608,423450 / 423450,06/18/2020,Phone,Nonformal,,
0111400,C-1607961,622110 / 622110,06/19/2020,Phone,Nonformal,,
0111400,C-1610969,722310 / 722110,06/25/2020,Email,Nonformal,1485164,
0111400,C-1612214,453998 / 453998,06/29/2020,Hotline,Nonformal,,
0111400,C-1612667,812331 / 812331,06/22/2020,Online,Nonformal,,
0111400,C-1617275,621910 / 621910,07/07/2020,Online,Nonformal,,
0111400,C-1620794,621493 / 621493,07/13/2020,Online,Nonformal,,
0111400,C-1621833,441320 / 441320,07/14/2020,Phone,Nonformal,,
0111400,C-1622265,713940 / 713940,07/14/2020,Phone,Nonformal,,
0111400,C-1622941,454110 / 454110,07/15/2020,Online,Nonformal,,
0111400,C-1623773,441310 / 441310,07/16/2020,Phone,Nonformal,,
0111400,C-1624438,423310 / 423310,07/17/2020,Online,Nonformal,,
0111400,C-1624757,485999 / 485999,07/17/2020,Phone,Nonformal,,
0111400,C-1627140,621210 / 621210,07/21/2020,Phone,Nonformal,,
0111400,C-1627737,922190 / 922190,07/22/2020,Email,Nonformal,,
0111400,C-1628059,423710 / 423710,07/22/2020,Phone,Nonformal,,
0111400,C-1629674,491110 / 491110,07/24/2020,Phone,Nonformal,,
0111400,C-1629683,491110 / 491110,07/24/2020,Email,Nonformal,,
0111400,C-1630643,561612 / 561612,07/27/2020,Hotline,Nonformal,,
0111400,C-1630669,454390 / 454390,07/27/2020,Online,Nonformal,,
0111400,C-1636939,448120 / 448120,08/04/2020,Phone,Nonformal,,
0111400,C-1637782,621210 / 621210,08/05/2020,Phone,Nonformal,,
0111400,C-1641198,238140 / 238140,08/11/2020,Phone,Nonformal,1487687,
0111400,C-1642093,622310 / 622310,08/12/2020,Phone,Nonformal,,
0111400,C-1643135,622210 / 622210,08/13/2020,Phone,Nonformal,,
0111400,C-1644602,423330 / 423330,08/14/2020,Phone,Nonformal,,
0111400,C-1644787,722511 / 722511,08/17/2020,Phone,Nonformal,,
0111400,C-1646242,485320 / 485320,08/19/2020,Online,Nonformal,,
0111400,C-1647032,491110 / 491110,08/19/2020,Phone,Nonformal,,
0111400,C-1647939,335921 / 335921,08/21/2020,Phone,Nonformal,,
0111400,C-1653342,423450 / 423450,08/28/2020,Email,Nonformal,,
0111400,C-1654176,492110 / 492110,09/02/2020,Online,Nonformal,,
0111400,C-1655237,561720 / 561720,09/02/2020,Phone,Nonformal,,
0111400,C-1655810,713990 / 713990,09/04/2020,Phone,Nonformal,,
0111400,C-1656259,721110 / 721110,09/08/2020,Online,Nonformal,,
0111400,C-1657039,561510 / 561510,09/09/2020,Online,Nonformal,,
0111400,C-1657938,622310 / 622310,09/10/2020,Phone,Nonformal,,
0111400,C-1660929,561510 / 561510,09/16/2020,Phone,Nonformal,,
0111400,C-1661678,423330 / 236118,09/18/2020,Phone,Nonformal,1494171,
0111400,C-1664669,492210 / 492210,09/25/2020,Online,Nonformal,,
0111400,C-1669350,448320 / 448320,10/06/2020,Online,Nonformal,,
0111400,C-1669376,446199 / 446199,10/06/2020,Online,Nonformal,,
0111400,C-1670663,522110 / 522110,10/09/2020,Online,Nonformal,,
0111400,C-1670888,623220 / 623220,10/09/2020,Phone,Nonformal,,
0111400,C-1670893,493110 / 493110,10/09/2020,Online,Nonformal,,
0111400,C-1670944,445110 / 445110,10/09/2020,Phone,Nonformal,,
0111400,C-1671538,531120 / 531120,10/13/2020,Online,Nonformal,,
0111400,C-1671753,423830 / 423830,10/13/2020,Phone,Nonformal,1497219,
0111400,C-1673962,713940 / 713940,10/15/2020,Phone,Nonformal,,
0111400,C-1675349,492110 / 492110,10/20/2020,Online,Nonformal,,
0111400,C-1675353,491110 / 491110,10/16/2020,Phone,Nonformal,,
0111400,C-1676029,561311 / 561311,10/21/2020,Phone,Nonformal,,
0111400,C-1677283,621210 / 621210,10/23/2020,Online,Nonformal,,
0111400,C-1677392,492210 / 492210,10/23/2020,Online,Nonformal,,
0111400,C-1679615,339999 / 339999,10/28/2020,Phone,Nonformal,,
0111400,C-1680108,492110 / 492110,10/29/2020,Phone,Nonformal,,
0111400,C-1681470,517210 / 517210,11/02/2020,Phone,Nonformal,,
0111400,C-1681516,236220 / 236220,11/02/2020,Online,Nonformal,,
0111400,C-1682079,491110 / 491110,10/30/2020,Phone,Nonformal,,
0111400,C-1682351,452111 / 452111,11/04/2020,Online,Nonformal,,
0111400,C-1682377,325412 / 325412,11/04/2020,Phone,Nonformal,,
0111400,C-1682438,561910 / 561910,11/04/2020,Phone,Nonformal,,
0111400,C-1682829,624190 / 624190,11/04/2020,Online,Nonformal,,
0111400,C-1682874,448140 / 452112,11/02/2020,Phone,Nonformal,,
0111400,C-1682935,621111 / 621111,11/02/2020,Online,Nonformal,,
0111400,C-1683428,484220 / 484220,11/05/2020,Phone,Nonformal,,
0111400,C-1683838,452112 / 452112,11/06/2020,Phone,Nonformal,,
0111500,C-1606296,423120 / 423120,06/16/2020,Phone,Nonformal,1483844,
0111500,C-1647353,424330 / 424330,08/20/2020,Phone,Nonformal,,
0111500,C-1662838,621210 / 621210,09/22/2020,Online,Formal,,
0111500,C-1663413,485510 / 485510,09/22/2020,Phone,Nonformal,,
0111500,C-1663808,621111 / 621111,09/22/2020,Online,Formal,,
0111500,C-1664777,621111 / 621111,09/25/2020,Online,Nonformal,,
0111500,C-1670197,332322 / 332322,10/07/2020,Online,Nonformal,1498799,
0111500,C-1671862,622110 / 622110,10/13/2020,Online,Nonformal,,
0111500,C-1675676,522110 / 522110,10/20/2020,Online,Formal,,
0111500,C-1676561,621610 / 621610,10/21/2020,Phone,Formal,1501283,
0111500,C-1678042,445110 / 445110,10/25/2020,Online,Nonformal,,
0111500,C-1678163,446110 / 446110,10/23/2020,Online,Nonformal,,
0111500,C-1678798,812111 / 812111,10/27/2020,Online,Nonformal,,
0111500,C-1678868,621112 / 621112,10/27/2020,Online,Nonformal,,
0111500,C-1680156,517110 / 517110,10/29/2020,Phone,Nonformal,,
0111500,C-1680235,485410 / 485410,10/29/2020,Phone,Nonformal,,
0111500,C-1681577,561790 / 561790,11/03/2020,Phone,Nonformal,,
0111500,C-1681724,452111 / 452111,10/30/2020,Online,Nonformal,,
0111500,C-1682537,624410 / 624410,11/04/2020,Phone,Nonformal,,
0111500,C-1683519,621210 / 621210,11/05/2020,Phone,Nonformal,,
0111500,C-1683669,722511 / 722511,11/06/2020,Online,Nonformal,,
0111700,C-1559728,622110 / 622110,03/27/2020,Online,Nonformal,,
0111700,C-1594569,325211 / 325211,05/22/2020,Phone,Nonformal,,
0111700,C-1608745,813319 / 813319,06/22/2020,Online,Formal,,
0111700,C-1608799,621420 / 621420,06/22/2020,Online,Formal,,
0111700,C-1610205,921190 / 921190,06/22/2020,Phone,Nonformal,,
0111700,C-1610824,331313 / 331313,06/25/2020,Online,Formal,1480789,
0111700,C-1638608,339999 / 339999,08/06/2020,Online,Nonformal,,
0111700,C-1676143,541320 / 541320,10/21/2020,Phone,Nonformal,,
0111700,C-1677890,622110 / 622110,10/26/2020,Online,Nonformal,,
0111700,C-1679876,492110 / 492110,10/29/2020,Online,Nonformal,,
0111700,C-1680640,722511 / 722511,10/30/2020,Phone,Nonformal,,
0111700,C-1680643,491110 / 491110,11/02/2020,Online,Nonformal,,
0111700,C-1680778,999999 / 561612,10/23/2020,Online,Nonformal,,
0111700,C-1680910,722513 / 722513,10/30/2020,Phone,Nonformal,,
0111700,C-1681776,311351 / 311351,10/30/2020,Hotline,Nonformal,,
0111700,C-1683527,441110 / 441110,11/06/2020,Online,Formal,,
0112000,C-1573395,485210 / 485210,04/17/2020,Phone,Formal,1479251,
0112000,C-1597085,621210 / 621210,05/28/2020,Phone,Nonformal,1479626,
0112000,C-1641045,621210 / 621210,08/11/2020,Online,Nonformal,,
0112000,C-1646421,621210 / 621210,08/19/2020,Phone,Nonformal,1488908,
0112000,C-1653552,238210 / 238210,08/31/2020,Email,Nonformal,,
0112000,C-1658218,336413 / 333415,09/10/2020,Phone,Nonformal,,
0112000,C-1668661,452111 / 452111,10/05/2020,Online,Nonformal,,
0112000,C-1669865,492110 / 492110,10/07/2020,Phone,Nonformal,,
0112000,C-1670207,624190 / 624190,10/07/2020,Phone,Nonformal,,
0112000,C-1670380,452111 / 452111,10/08/2020,Phone,Nonformal,,
0112000,C-1671486,446110 / 446110,10/13/2020,Online,Nonformal,,
0112000,C-1672459,541990 / 541990,10/14/2020,Phone,Nonformal,,
0112000,C-1673102,722110 / 722110,10/15/2020,Phone,Nonformal,,
0112000,C-1674527,621210 / 621210,10/16/2020,Phone,Nonformal,,
0112000,C-1675536,491110 / 491110,10/20/2020,Phone,Nonformal,,
0112000,C-1676095,339112 / 339112,10/20/2020,Online,Nonformal,,
0112000,C-1678255,492110 / 492110,10/26/2020,Online,Nonformal,,
0112000,C-1678941,492210 / 492210,10/27/2020,Phone,Nonformal,,
0112000,C-1680190,452111 / 452111,10/28/2020,Hotline,Nonformal,,
0112000,C-1680214,446191 / 446191,10/29/2020,Online,Nonformal,,
0112000,C-1680896,722511 / 722511,11/01/2020,Online,Nonformal,,
0112000,C-1681091,622110 / 622110,11/02/2020,Phone,Nonformal,,
0112000,C-1681182,443120 / 443142,11/01/2020,Online,Nonformal,,
0112000,C-1681710,312111 / 312111,11/03/2020,Phone,Nonformal,,
0112000,C-1681939,424130 / 424130,11/03/2020,Phone,Nonformal,,
0112000,C-1681942,337910 / 337910,11/03/2020,Phone,Nonformal,,
0112000,C-1682198,448140 / 448140,11/04/2020,Phone,Nonformal,,
0112000,C-1683129,492110 / 492110,11/03/2020,Phone,Nonformal,,
0112300,C-1636009,722511 / 722511,08/03/2020,Phone,Nonformal,1486743,
0112300,C-1678935,447110 / 447110,10/27/2020,Phone,Nonformal,,
0112300,C-1682087,424920 / 424920,11/04/2020,Phone,Nonformal,,
0112300,C-1682443,491110 / 491110,11/04/2020,Online,Nonformal,,
0112600,C-1670290,424410 / 424410,10/08/2020,Online,Formal,1497460,
0112600,C-1680113,722513 / 722513,10/29/2020,Phone,Nonformal,,
0112600,C-1681703,322291 / 322291,11/03/2020,Phone,Nonformal,,
0112600,C-1683541,491110 / 491110,11/06/2020,Phone,Formal,,
0112600,C-1683631,491110 / 491110,11/06/2020,Phone,Nonformal,,
0134000,C-1635255,623110 / 623110,07/31/2020,Phone,Nonformal,,
0134000,C-1664201,452990 / 452990,09/24/2020,Online,Formal,,
0134000,C-1672276,492110 / 492110,10/14/2020,Online,Nonformal,,
0134000,C-1672527,323110 / 323110,10/14/2020,Email,Formal,,
0134000,C-1676570,424420 / 424420,10/21/2020,Phone,Nonformal,,
0134000,C-1682502,811112 / 811112,11/04/2020,Phone,Nonformal,,
0150900,C-1579534,922160 / 922160,04/13/2020,Mail,Nonformal,,
0150900,C-1581043,622110 / 622110,04/15/2020,Online,Nonformal,,
0150900,C-1581122,923130 / 923130,04/13/2020,Online,Nonformal,,
0150900,C-1581267,923130 / 923130,04/15/2020,Email,Nonformal,,
0150900,C-1581755,923130 / 923130,04/07/2020,Phone,Nonformal,,
0152300,C-1604642,921120 / 921120,04/24/2020,Email,Formal,,
0155010,C-1564085,484110 / 484110,04/01/2020,Phone,Nonformal,1471811,
0155010,C-1566053,484110 / 484110,04/03/2020,Online,Formal,1471883,
0155010,C-1569235,492110 / 492110,04/09/2020,Email,Formal,1475750,
0155010,C-1580575,327991 / 327991,04/25/2020,Online,Formal,,
0155010,C-1586686,722513 / 722513,05/08/2020,Online,Nonformal,,
0155010,C-1591454,485991 / 485991,05/14/2020,Online,Formal,,
0155010,C-1594600,921190 / 238210,05/18/2020,Online,Formal,,
0155010,C-1594740,561320 / 561320,05/20/2020,Online,Nonformal,,
0155010,C-1595226,453998 / 453998,05/20/2020,Online,Formal,,
0155010,C-1597594,922140 / 922140,05/26/2020,Online,Formal,,
0155010,C-1598405,562920 / 562920,05/28/2020,Online,Nonformal,,
0155010,C-1598668,621999 / 621999,05/28/2020,Online,Formal,,
0155010,C-1599945,492110 / 492110,06/02/2020,Online,Formal,1479138,
0155010,C-1601302,722513 / 722513,06/04/2020,Online,Formal,,
0155010,C-1603565,311812 / 311812,06/09/2020,Online,Nonformal,,
0155010,C-1608043,441310 / 441310,06/18/2020,Online,Nonformal,,
0155010,C-1616417,812112 / 812112,07/01/2020,Online,Formal,1484461,
0155010,C-1616496,452111 / 452111,07/02/2020,Online,Formal,,
0155010,C-1616701,444190 / 444190,07/01/2020,Online,Formal,,
0155010,C-1617820,238120 / 238120,07/02/2020,Online,Formal,,
0155010,C-1619400,532310 / 532310,07/09/2020,Online,Formal,1483155,
0155010,C-1638262,722211 / 722211,08/04/2020,Online,Nonformal,,
0155010,C-1638529,444130 / 444130,08/06/2020,Online,Nonformal,,
0155010,C-1638592,623220 / 623220,08/06/2020,Online,Nonformal,,
0155010,C-1640219,721110 / 721110,08/08/2020,Online,Formal,,
0155010,C-1641968,445299 / 445299,08/10/2020,Online,Formal,,
0155010,C-1643010,441120 / 441120,08/13/2020,Online,Formal,,
0155010,C-1656363,921110 / 921110,09/06/2020,Online,Formal,,
0155010,C-1659642,611110 / 611110,09/14/2020,Online,Formal,,
0155010,C-1666231,722210 / 722210,09/28/2020,Online,Formal,,
0155010,C-1671896,445110 / 445110,10/12/2020,Email,Formal,1498026,
0155010,C-1676004,453998 / 453998,10/21/2020,Online,Nonformal,,
0155010,C-1679577,441110 / 441110,10/28/2020,Online,Formal,,
0213100,C-1552378,524114 / 524114,03/19/2020,Phone,Nonformal,,
0213100,C-1556141,238210 / 238210,03/19/2020,Phone,Nonformal,,
0213100,C-1556454,491110 / 491110,03/19/2020,Phone,Nonformal,,
0213100,C-1556718,611110 / 611110,03/19/2020,Phone,Nonformal,,
0213100,C-1556798,622110 / 622110,03/23/2020,Online,Formal,,
0213100,C-1556810,622110 / 622110,03/23/2020,Online,Formal,,
0213100,C-1560989,621511 / 621511,03/27/2020,Phone,Nonformal,,
0213100,C-1561161,623220 / 623220,03/30/2020,Phone,Nonformal,,
0213100,C-1561206,623220 / 623220,03/30/2020,Phone,Nonformal,,
0213100,C-1563917,622110 / 622110,04/01/2020,Online,Nonformal,,
0213100,C-1563990,622210 / 622210,04/01/2020,Online,Formal,,
0213100,C-1564006,622110 / 622110,04/01/2020,Phone,Nonformal,,
0213100,C-1564736,622110 / 622110,04/03/2020,Online,Formal,,
0213100,C-1564830,622110 / 622110,04/03/2020,Online,Nonformal,,
0213100,C-1565103,622110 / 622110,04/03/2020,Online,Formal,,
0213100,C-1570227,623110 / 623110,04/10/2020,Online,Nonformal,,
0213100,C-1570794,622110 / 622110,04/13/2020,Online,Formal,,
0213100,C-1570848,623110 / 623110,04/13/2020,Online,Formal,,
0213100,C-1571023,925110 / 925110,04/13/2020,Phone,Nonformal,,
0213100,C-1571041,622110 / 622110,04/14/2020,Online,Formal,,
0213100,C-1572769,621910 / 621910,04/16/2020,Phone,Nonformal,,
0213100,C-1578114,236220 / 236220,04/24/2020,Online,Formal,,
0213100,C-1578121,492110 / 492110,04/23/2020,Phone,Nonformal,,
0213100,C-1586307,524210 / 524210,05/11/2020,Online,Nonformal,,
0213100,C-1586315,493110 / 493110,05/11/2020,Online,Nonformal,,
0213100,C-1586339,722210 / 722210,05/11/2020,Online,Formal,,
0213100,C-1586363,622110 / 622110,05/11/2020,Online,Formal,,
0213100,C-1586450,622210 / 622210,05/11/2020,Online,Nonformal,,
0213100,C-1587716,326111 / 326111,05/07/2020,Online,Nonformal,,
0213100,C-1591995,622110 / 622110,05/18/2020,Online,Nonformal,,
0213100,C-1597824,622110 / 622110,04/14/2020,Online,Nonformal,,
0213100,C-1668420,622110 / 622110,10/02/2020,Online,Nonformal,,
0213100,C-1670265,491110 / 491110,10/08/2020,Online,Nonformal,,
0213100,C-1675644,491110 / 491110,10/20/2020,Online,Formal,,
0213100,C-1675697,621910 / 621910,10/20/2020,Online,Formal,,
0213100,C-1676022,722513 / 722513,10/20/2020,Phone,Nonformal,,
0213100,C-1676030,722513 / 722513,10/20/2020,Phone,Nonformal,,
0213100,C-1680915,236220 / 561720,11/02/2020,Online,Nonformal,,
0213100,C-1681089,561720 / 561720,11/02/2020,Online,Nonformal,,
0213400,C-1551887,621111 / 621111,03/13/2020,Phone,Nonformal,,
0213400,C-1552625,325412 / 325412,03/13/2020,Phone,Nonformal,,
0213400,C-1553977,622110 / 622110,03/17/2020,Phone,Nonformal,,
0213400,C-1554161,622110 / 622110,03/17/2020,Phone,Nonformal,,
0213400,C-1554501,484230 / 484230,03/18/2020,Online,Nonformal,,
0213400,C-1554637,622110 / 622110,03/18/2020,Hotline,Nonformal,,
0213400,C-1556423,621399 / 621399,03/23/2020,Phone,Nonformal,,
0213400,C-1556774,561422 / 561422,03/23/2020,Phone,Nonformal,,
0213400,C-1557004,624190 / 624190,03/23/2020,Phone,Nonformal,,
0213400,C-1558087,236118 / 236118,03/25/2020,Phone,Nonformal,,
0213400,C-1559033,454110 / 454110,03/25/2020,Hotline,Nonformal,,
0213400,C-1559779,332322 / 332322,03/25/2020,Hotline,Nonformal,,
0213400,C-1559985,622210 / 622210,03/27/2020,Phone,Nonformal,,
0213400,C-1563104,621111 / 621111,03/31/2020,Online,Nonformal,,
0213400,C-1563301,622210 / 622210,03/31/2020,Phone,Nonformal,,
0213400,C-1563360,518210 / 518210,04/01/2020,Online,Nonformal,,
0213400,C-1563412,621111 / 621111,04/01/2020,Online,Nonformal,,
0213400,C-1564191,561613 / 561613,04/02/2020,Online,Nonformal,,
0213400,C-1566176,541620 / 541620,04/06/2020,Online,Nonformal,,
0213400,C-1571568,622110 / 622110,04/15/2020,Online,Nonformal,,
0213400,C-1572648,493110 / 493110,04/16/2020,Phone,Nonformal,,
0213400,C-1577372,334510 / 334510,04/23/2020,Online,Formal,,
0213400,C-1578008,311612 / 311612,04/24/2020,Phone,Nonformal,,
0213400,C-1633745,452112 / 423220,07/29/2020,Phone,Nonformal,,
0213400,C-1633873,621210 / 621210,07/29/2020,Phone,Nonformal,,
0213400,C-1670936,493110 / 493110,10/07/2020,Phone,Nonformal,,
0213400,C-1673123,491110 / 491110,10/15/2020,Online,Nonformal,,
0213400,C-1674117,334412 / 334412,10/16/2020,Mail,Nonformal,,
0213400,C-1674717,238210 / 238210,10/19/2020,Online,Nonformal,,
0213400,C-1676246,423610 / 423610,10/21/2020,Online,Nonformal,,
0213400,C-1682860,621420 / 621420,11/04/2020,Online,Nonformal,,
0213400,C-1683575,511199 / 511199,11/06/2020,Online,Nonformal,,
0213600,C-1555120,921190 / 921190,03/18/2020,Phone,Nonformal,,
0213600,C-1555665,511110 / 511110,03/18/2020,Phone,Nonformal,,
0213600,C-1556620,561440 / 561440,03/18/2020,Phone,Nonformal,,
0213600,C-1557382,561421 / 561421,03/23/2020,Hotline,Nonformal,,
0213600,C-1562314,485119 / 485119,03/30/2020,Phone,Nonformal,,
0213600,C-1563098,622110 / 622110,03/30/2020,Phone,Nonformal,,
0213600,C-1563962,622110 / 622110,03/31/2020,Online,Nonformal,,
0213600,C-1564657,623110 / 623110,04/03/2020,Online,Nonformal,,
0213600,C-1565954,623110 / 623110,04/03/2020,Online,Nonformal,,
0213600,C-1567356,531311 / 531311,04/07/2020,Phone,Nonformal,,
0213600,C-1587404,561612 / 561612,05/11/2020,Online,Nonformal,,
0213600,C-1625553,453998 / 453998,07/20/2020,Online,Nonformal,,
0213600,C-1647081,722310 / 722310,08/14/2020,Phone,Nonformal,,
0213600,C-1663637,623110 / 623110,09/23/2020,Phone,Nonformal,,
0213600,C-1681104,623110 / 623110,11/02/2020,Online,Nonformal,,
0213900,C-1581270,561613 / 561613,04/30/2020,Online,Nonformal,,
0213900,C-1581723,311352 / 311352,04/30/2020,Online,Nonformal,,
0213900,C-1582765,561440 / 561440,05/04/2020,Online,Nonformal,,
0213900,C-1610929,622110 / 622110,06/24/2020,Email,Nonformal,1480762,
0213900,C-1616820,621493 / 621493,07/06/2020,Online,Nonformal,,
0213900,C-1651226,623110 / 623110,08/21/2020,Phone,Nonformal,1490302,
0213900,C-1666516,623110 / 623110,09/30/2020,Phone,Nonformal,1494932,
0213900,C-1675888,622110 / 622110,10/16/2020,Online,Nonformal,,
0213900,C-1676593,423820 / 423820,10/20/2020,Online,Formal,,
0213900,C-1678205,452111 / 452111,10/26/2020,Online,Nonformal,,
0213900,C-1678287,327213 / 327213,10/26/2020,Phone,Nonformal,,
0213900,C-1678933,561499 / 561499,10/27/2020,Online,Nonformal,,
0213900,C-1680188,721110 / 721110,10/29/2020,Online,Nonformal,,
0213900,C-1680634,622110 / 622110,11/02/2020,Online,Nonformal,,
0213900,C-1681465,812112 / 812112,11/03/2020,Online,Nonformal,,
0213900,C-1682126,621111 / 621111,11/04/2020,Online,Nonformal,,
0214200,C-1564028,492110 / 492110,04/02/2020,Online,Nonformal,,
0214200,C-1565833,325411 / 325411,06/11/2020,Hotline,Formal,1478496;1478504;1478508,
0214200,C-1566004,311412 / 311412,04/06/2020,Online,Nonformal,,
0214200,C-1567250,492110 / 492110,04/07/2020,Online,Nonformal,,
0214200,C-1568105,623110 / 623110,04/08/2020,Phone,Nonformal,,
0214200,C-1568753,561320 / 561320,06/11/2020,Phone,Formal,1478496;1478504;1478508,
0214200,C-1570767,511110 / 511110,04/14/2020,Phone,Nonformal,,
0214200,C-1570795,561320 / 561320,04/14/2020,Phone,Nonformal,,
0214200,C-1574129,444130 / 444130,04/20/2020,Online,Nonformal,,
0214200,C-1578027,623220 / 623220,04/24/2020,Online,Nonformal,,
0214200,C-1578982,623110 / 623110,04/27/2020,Phone,Nonformal,,
0214200,C-1582377,623220 / 623220,05/01/2020,Email,Formal,1473911,
0214200,C-1582675,622110 / 622110,05/04/2020,Email,Formal,1474055;1474325,
0214200,C-1603476,622110 / 622110,06/10/2020,Email,Formal,1478460,
0214200,C-1605441,622110 / 622110,06/15/2020,Email,Nonformal,,
0214200,C-1627834,624310 / 624310,07/20/2020,Phone,Nonformal,,
0214200,C-1629935,611699 / 611699,07/24/2020,Phone,Nonformal,,
0214200,C-1667660,484121 / 484121,10/02/2020,Hotline,Nonformal,,
0214200,C-1668029,623311 / 623311,10/02/2020,Phone,Nonformal,,
0214200,C-1669300,333241 / 333241,10/02/2020,Phone,Nonformal,,
0214200,C-1675361,621111 / 621111,10/20/2020,Online,Nonformal,,
0214200,C-1679728,722511 / 722511,10/29/2020,Online,Nonformal,,
0214200,C-1681502,621910 / 621910,11/03/2020,Phone,Nonformal,,
0214200,C-1682156,339999 / 339999,11/03/2020,Phone,Nonformal,,
0214200,C-1682410,561422 / 561422,11/04/2020,Online,Nonformal,,
0214500,C-1555634,623110 / 623110,03/19/2020,Phone,Nonformal,,
0214500,C-1557441,491110 / 491110,03/24/2020,Phone,Nonformal,,
0214500,C-1558336,485991 / 485991,03/25/2020,Online,Nonformal,,
0214500,C-1558929,424110 / 424110,03/26/2020,Phone,Nonformal,,
0214500,C-1560023,623110 / 623110,03/27/2020,Online,Nonformal,,
0214500,C-1562357,491110 / 491110,03/30/2020,Email,Nonformal,,
0214500,C-1567828,623110 / 623110,04/07/2020,Email,Nonformal,,
0214500,C-1567991,311821 / 311821,04/08/2020,Online,Nonformal,,
0214500,C-1569942,622110 / 622110,04/13/2020,Online,Nonformal,,
0214500,C-1575327,339112 / 339112,04/09/2020,Online,Nonformal,,
0214500,C-1575788,452910 / 452910,04/20/2020,Phone,Nonformal,,
0214500,C-1579922,621910 / 621910,04/28/2020,Email,Nonformal,,
0214500,C-1581856,522390 / 522390,04/30/2020,Email,Nonformal,,
0214500,C-1610911,622110 / 622110,06/22/2020,Online,Formal,1476994,
0214500,C-1626971,811198 / 811198,07/21/2020,Email,Nonformal,,
0214500,C-1641141,322122 / 322122,08/10/2020,Phone,Formal,,
0214500,C-1643926,622110 / 622110,08/14/2020,Email,Nonformal,,
